trip_id,start_time,end_time,headway_secs
60056110,06:00:00,09:00:00,300
60056110,09:00:01,15:00:00,900
60056110,15:00:01,21:00:00,300
70001111,06:00:00,09:00:00,300
70001111,09:00:01,15:00:00,900
70001111,15:00:01,21:00:00,300
70001110,06:00:00,09:00:00,300
70001110,09:00:01,15:00:00,900
70001110,15:00:01,21:00:00,300
70002111,06:00:00,09:00:00,300
70002111,09:00:01,15:00:00,900
70002111,15:00:01,21:00:00,300
70002110,06:00:00,09:00:00,300
70002110,09:00:01,15:00:00,900
70002110,15:00:01,21:00:00,300
70003111,06:00:00,09:00:00,300
70003111,09:00:01,15:00:00,900
70003111,15:00:01,21:00:00,300
70003110,06:00:00,09:00:00,300
70003110,09:00:01,15:00:00,900
70003110,15:00:01,21:00:00,300
7004W111,06:00:00,09:00:00,300
7004W111,09:00:01,15:00:00,900
7004W111,15:00:01,21:00:00,300
7004W110,06:00:00,09:00:00,300
7004W110,09:00:01,15:00:00,900
7004W110,15:00:01,21:00:00,300
70008111,06:00:00,09:00:00,300
70008111,09:00:01,15:00:00,900
70008111,15:00:01,21:00:00,300
70008110,06:00:00,09:00:00,300
70008110,09:00:01,15:00:00,900
70008110,15:00:01,21:00:00,300
7024C111,06:00:00,09:00:00,300
7024C111,09:00:01,15:00:00,900
7024C111,15:00:01,21:00:00,300
7024C110,06:00:00,09:00:00,300
7024C110,09:00:01,15:00:00,900
7024C110,15:00:01,21:00:00,300
70032111,06:00:00,09:00:00,300
70032111,09:00:01,15:00:00,900
70032111,15:00:01,21:00:00,300
70032110,06:00:00,09:00:00,300
70032110,09:00:01,15:00:00,900
70032110,15:00:01,21:00:00,300
70033111,06:00:00,09:00:00,300
70033111,09:00:01,15:00:00,900
70033111,15:00:01,21:00:00,300
70033110,06:00:00,09:00:00,300
70033110,09:00:01,15:00:00,900
70033110,15:00:01,21:00:00,300
70033211,06:00:00,09:00:00,300
70033211,09:00:01,15:00:00,900
70033211,15:00:01,21:00:00,300
70033210,06:00:00,09:00:00,300
70033210,09:00:01,15:00:00,900
70033210,15:00:01,21:00:00,300
70034111,06:00:00,09:00:00,300
70034111,09:00:01,15:00:00,900
70034111,15:00:01,21:00:00,300
70034110,06:00:00,09:00:00,300
70034110,09:00:01,15:00:00,900
70034110,15:00:01,21:00:00,300
70102111,06:00:00,09:00:00,300
70102111,09:00:01,15:00:00,900
70102111,15:00:01,21:00:00,300
70102110,06:00:00,09:00:00,300
70102110,09:00:01,15:00:00,900
70102110,15:00:01,21:00:00,300
70103111,06:00:00,09:00:00,300
70103111,09:00:01,15:00:00,900
70103111,15:00:01,21:00:00,300
70103110,06:00:00,09:00:00,300
70103110,09:00:01,15:00:00,900
70103110,15:00:01,21:00:00,300
70111111,06:00:00,09:00:00,300
70111111,09:00:01,15:00:00,900
70111111,15:00:01,21:00:00,300
70111110,06:00:00,09:00:00,300
70111110,09:00:01,15:00:00,900
70111110,15:00:01,21:00:00,300
70126111,06:00:00,09:00:00,300
70126111,09:00:01,15:00:00,900
70126111,15:00:01,21:00:00,300
70126110,06:00:00,09:00:00,300
70126110,09:00:01,15:00:00,900
70126110,15:00:01,21:00:00,300
70129111,06:00:00,09:00:00,300
70129111,09:00:01,15:00:00,900
70129111,15:00:01,21:00:00,300
70129110,06:00:00,09:00:00,300
70129110,09:00:01,15:00:00,900
70129110,15:00:01,21:00:00,300
8011B111,06:00:00,09:00:00,300
8011B111,09:00:01,15:00:00,900
8011B111,15:00:01,21:00:00,300
8011B110,06:00:00,09:00:00,300
8011B110,09:00:01,15:00:00,900
8011B110,15:00:01,21:00:00,300
80023111,06:00:00,09:00:00,300
80023111,09:00:01,15:00:00,900
80023111,15:00:01,21:00:00,300
80023110,06:00:00,09:00:00,300
80023110,09:00:01,15:00:00,900
80023110,15:00:01,21:00:00,300
80030111,06:00:00,09:00:00,300
80030111,09:00:01,15:00:00,900
80030111,15:00:01,21:00:00,300
80030110,06:00:00,09:00:00,300
80030110,09:00:01,15:00:00,900
80030110,15:00:01,21:00:00,300
80048211,06:00:00,09:00:00,300
80048211,09:00:01,15:00:00,900
80048211,15:00:01,21:00:00,300
80048210,06:00:00,09:00:00,300
80048210,09:00:01,15:00:00,900
80048210,15:00:01,21:00:00,300
80048111,06:00:00,09:00:00,300
80048111,09:00:01,15:00:00,900
80048111,15:00:01,21:00:00,300
80048110,06:00:00,09:00:00,300
80048110,09:00:01,15:00:00,900
80048110,15:00:01,21:00:00,300
8048A111,06:00:00,09:00:00,300
8048A111,09:00:01,15:00:00,900
8048A111,15:00:01,21:00:00,300
8048A110,06:00:00,09:00:00,300
8048A110,09:00:01,15:00:00,900
8048A110,15:00:01,21:00:00,300
8048B111,06:00:00,09:00:00,300
8048B111,09:00:01,15:00:00,900
8048B111,15:00:01,21:00:00,300
8048B110,06:00:00,09:00:00,300
8048B110,09:00:01,15:00:00,900
8048B110,15:00:01,21:00:00,300
80105111,06:00:00,09:00:00,300
80105111,09:00:01,15:00:00,900
80105111,15:00:01,21:00:00,300
80105110,06:00:00,09:00:00,300
80105110,09:00:01,15:00:00,900
80105110,15:00:01,21:00:00,300
80114111,06:00:00,09:00:00,300
80114111,09:00:01,15:00:00,900
80114111,15:00:01,21:00:00,300
80114110,06:00:00,09:00:00,300
80114110,09:00:01,15:00:00,900
80114110,15:00:01,21:00:00,300
80115111,06:00:00,09:00:00,300
80115111,09:00:01,15:00:00,900
80115111,15:00:01,21:00:00,300
80115110,06:00:00,09:00:00,300
80115110,09:00:01,15:00:00,900
80115110,15:00:01,21:00:00,300
80118111,06:00:00,09:00:00,300
80118111,09:00:01,15:00:00,900
80118111,15:00:01,21:00:00,300
80118110,06:00:00,09:00:00,300
80118110,09:00:01,15:00:00,900
80118110,15:00:01,21:00:00,300
80119111,06:00:00,09:00:00,300
80119111,09:00:01,15:00:00,900
80119111,15:00:01,21:00:00,300
80119110,06:00:00,09:00:00,300
80119110,09:00:01,15:00:00,900
80119110,15:00:01,21:00:00,300
80135111,06:00:00,09:00:00,300
80135111,09:00:01,15:00:00,900
80135111,15:00:01,21:00:00,300
80135110,06:00:00,09:00:00,300
80135110,09:00:01,15:00:00,900
80135110,15:00:01,21:00:00,300
70005111,06:00:00,09:00:00,300
70005111,09:00:01,15:00:00,900
70005111,15:00:01,21:00:00,300
70005110,06:00:00,09:00:00,300
70005110,09:00:01,15:00:00,900
70005110,15:00:01,21:00:00,300
8048C111,06:00:00,09:00:00,300
8048C111,09:00:01,15:00:00,1800
8048C111,15:00:01,21:00:00,300
8048C110,06:00:00,09:00:00,300
8048C110,09:00:01,15:00:00,1800
8048C110,15:00:01,21:00:00,300
8119A111,06:00:00,09:00:00,300
8119A111,09:00:01,15:00:00,900
8119A111,15:00:01,21:00:00,300
8119A110,06:00:00,09:00:00,300
8119A110,09:00:01,15:00:00,900
8119A110,15:00:01,21:00:00,300
